1,"010000000","REGION_I_(ILOCOS_REGION)"
2,"020000000","REGION_II_(CAGAYAN_VALLEY)"
3,"030000000","REGION_III_(CENTRAL_LUZON)"
4,"040000000","REGION_IV-A_(CALABARZON)"
5,"050000000","REGION_V_(BICOL_REGION)"
6,"060000000","REGION_VI_(WESTERN_VISAYAS)"
7,"070000000","REGION_VII_(CENTRAL_VISAYAS)"
8,"080000000","REGION_VIII_(EASTERN_VISAYAS)"
9,"090000000","REGION_IX_(ZAMBOANGA_PENINSULA)"
10,"100000000","REGION_X_(NORTHERN_MINDANAO)"
11,"110000000","REGION_XI_(DAVAO_REGION)"
12,"120000000","REGION_XII_(SOCCSKSARGEN)"
13,"130000000","NATIONAL_CAPITAL_REGION_(NCR)"
14,"140000000","CORDILLERA_ADMINISTRATIVE_REGION_(CAR)"
15,"150000000","BANGSAMORO_AUTONOMOUS_REGION_IN_MUSLIM_MINDANAO_(BARMM)"
16,"160000000","REGION_XIII_(Caraga)"
17,"170000000","REGION_IV-B_(MIMAROPA)"
